,hepatocytes__files,GM12878__files,HepG2__files,MCF-7__files
H2AFZ,,ENCFF885XEM,ENCFF727THL,ENCFF103BLN
H3F3A,,,,ENCFF593CYR
H3K27ac,ENCFF189GSI,ENCFF180LKW,ENCFF149IFW,"ENCFF212JTP,ENCFF249SMB"
H3K27me3,ENCFF042AXG,ENCFF594HSG,ENCFF369TFH,"ENCFF642GZA,ENCFF291JOQ"
H3K36me3,ENCFF209QTJ,ENCFF335VEM,ENCFF371IXA,ENCFF000VGL
H3K4me1,ENCFF582PWO,ENCFF682WPF,ENCFF145SWO,ENCFF099HRD
H3K4me2,,ENCFF828CQV,ENCFF055UPH,ENCFF998NCA
H3K4me3,ENCFF817YAO,ENCFF818GNV,ENCFF171BSH,"ENCFF205OYE,ENCFF783ZIE"
H3K79me2,,ENCFF396JIR,ENCFF730UOO,
H3K9ac,,ENCFF465KNK,ENCFF625CYY,ENCFF670KIW
H3K9me2,,,,ENCFF307QVV
H3K9me3,ENCFF566FON,ENCFF776OVW,ENCFF881LOL,"ENCFF350GNM,ENCFF911CBX"
H4K20me1,,ENCFF831WYD,ENCFF473IRJ,ENCFF697LUR
