,hepatocytes__files,GM12878__files,HepG2__files,MCF-7__files
AGO1,,,ENCFF608GON,
AGO2,,,ENCFF010SVM,
AHR,,,ENCFF752BUG,
ARID3A,,ENCFF006RQH,ENCFF086LFN,ENCFF724IHC
ARID4B,,,ENCFF502UBW,
ARNT,,ENCFF489AGF,ENCFF433RDR,
ASH2L,,ENCFF664LBN,ENCFF775KTQ,
ATF1,,,ENCFF368XHC,
ATF2,,ENCFF214DHW,ENCFF688PTB,
ATF3,ENCFF850ZSI,,ENCFF861JFK,
ATF7,,ENCFF998ZHO,ENCFF500BBK,ENCFF377PRJ
ATM,,,ENCFF119VWG,
BACH1,,ENCFF184PLB,,
BATF,,ENCFF413PZT,,
BCL11A,,ENCFF049DFX,,
BCL3,,ENCFF366FDQ,,
BCL6,,,ENCFF040UOE,
BCLAF1,,ENCFF488UUR,ENCFF058UPY,
BHLHE40,,ENCFF522MRN,ENCFF910UYD,
BMI1,,ENCFF407PLR,,ENCFF620ERQ
BRCA1,,ENCFF314JBH,ENCFF759IZG,
BRD4,,,ENCFF437LJR,
CBFB,,ENCFF327KPH,,
CBX2,,,ENCFF764BTY,
CBX3,,ENCFF560MPE,,
CBX5,,ENCFF442AII,,
CCAR2,,,ENCFF470NKI,
CEBPA,,,ENCFF595JXL,
CEBPB,,ENCFF481MMI,ENCFF812DOO,"ENCFF000QLF,ENCFF000QLE"
CEBPG,,,ENCFF182SSK,ENCFF480XIJ
CEBPZ,,ENCFF183UMP,ENCFF527RZH,
CHD1,,ENCFF405ZKS,,ENCFF042YID
CHD2,,ENCFF963XEI,ENCFF966QLK,
CHD4,,ENCFF642RXD,ENCFF191VPF,
CLOCK,,,,"ENCFF824VGY,ENCFF895YME"
COPS2,,,,ENCFF163KRR
CREB1,,"ENCFF000NUC,ENCFF000NUA",ENCFF408ICU,"ENCFF954XTO,ENCFF890XEY"
CREM,,ENCFF403JWE,ENCFF748IWJ,
CSDE1,,,,ENCFF180ANI
CTBP1,,,,ENCFF321BDO
CTCF,ENCFF555SBI,ENCFF886KRA,ENCFF804LNZ,"ENCFF812KNI,ENCFF000RZN,ENCFF761KGM,ENCFF853UBZ,ENCFF407HXA,ENCFF386TLD,ENCFF809DSC,ENCFF000SAI"
CUX1,,ENCFF086OCM,,ENCFF907XIB
DDX20,,,,ENCFF281QZF
DMAP1,,,ENCFF153YVX,
DNMT3B,,,ENCFF837AEU,
DPF2,,ENCFF682POX,,ENCFF893HPT
DRAP1,,,ENCFF804ZMG,
E2F1,,,,ENCFF000ZLB
E2F4,,ENCFF926RPL,,ENCFF909WFI
E2F8,,ENCFF284FKX,,ENCFF186VUM
